loss,binary_accuracy,precision,recall,auc,val_loss,val_binary_accuracy,val_precision,val_recall,val_auc,lr
1.331622838973999,0.5073575377464294,0.49240779876708984,0.4846285283565521,0.5092828869819641,0.7355822324752808,0.507022500038147,0.4957490563392639,0.8141550421714783,0.5418994426727295,0.01
0.7931224703788757,0.5135233402252197,0.49882614612579346,0.47630229592323303,0.518884539604187,0.6880176067352295,0.5435393452644348,0.5206102132797241,0.7722676992416382,0.5940634608268738,0.01
0.7044416666030884,0.5615544319152832,0.5516217350959778,0.5156950950622559,0.581005334854126,0.7307378053665161,0.517087996006012,0.5019577145576477,0.9254090189933777,0.6367889046669006,0.01
0.6738369464874268,0.611813485622406,0.6047316193580627,0.5783968567848206,0.6524955034255981,0.73927903175354,0.5749063491821289,0.539926290512085,0.8468208312988281,0.6514892578125,0.01
0.6372345685958862,0.642746090888977,0.6339188814163208,0.6242392063140869,0.6961886882781982,0.633325457572937,0.642087996006012,0.6783854365348816,0.5016851425170898,0.706159234046936,0.005
0.6251026391983032,0.657875657081604,0.6499565839767456,0.6394790410995483,0.7138511538505554,0.6436294913291931,0.6425561904907227,0.7053571343421936,0.45598846673965454,0.7132601737976074,0.005
0.6056475639343262,0.6847668290138245,0.6778247356414795,0.66798335313797,0.7457920908927917,0.6616101264953613,0.6348314881324768,0.728232204914093,0.3982684016227722,0.7245899438858032,0.005
0.5565599203109741,0.7230051755905151,0.7129384279251099,0.7184196710586548,0.7905106544494629,0.612549901008606,0.6650280952453613,0.6800670027732849,0.586705207824707,0.7296133637428284,0.0025
0.5379857420921326,0.7302590608596802,0.719961941242218,0.7271854281425476,0.8062422871589661,0.6650122404098511,0.6640917658805847,0.7250351905822754,0.49686747789382935,0.7440087795257568,0.0025
0.5255569219589233,0.742953360080719,0.73192298412323,0.7423142790794373,0.8177214860916138,0.7463322281837463,0.6168071031570435,0.7450110912322998,0.3232323229312897,0.7318758964538574,0.0025
0.49258777499198914,0.7651813626289368,0.7553303837776184,0.7637139558792114,0.8428090810775757,0.6564769744873047,0.658707857131958,0.7100270986557007,0.504331111907959,0.7490087151527405,0.00125
