loss,binary_accuracy,precision,recall,auc,val_loss,val_binary_accuracy,val_precision,val_recall,val_auc,lr
1.348990797996521,0.5038341879844666,0.48872828483581543,0.48371943831443787,0.504679799079895,0.7148366570472717,0.5156835317611694,0.5714285969734192,0.011566265486180782,0.5100641846656799,0.01
0.7972951531410217,0.5170984268188477,0.5027140974998474,0.484363317489624,0.5203319787979126,0.7022776007652283,0.5543071031570435,0.5804651379585266,0.30043330788612366,0.5857198238372803,0.01
0.6780483722686768,0.604559600353241,0.5929933786392212,0.5908411741256714,0.6447986960411072,0.8036428093910217,0.5753745436668396,0.5870712399482727,0.42829644680023193,0.6274418234825134,0.01
0.6387389898300171,0.6540932655334473,0.6448416709899902,0.6393337845802307,0.7088773846626282,0.8141069412231445,0.5140449404716492,0.5,0.005298651289194822,0.48532748222351074,0.01
0.6232681274414062,0.6554922461509705,0.6436417698860168,0.6504429578781128,0.7146980166435242,0.6100710034370422,0.6680711507797241,0.6178366541862488,0.8309248685836792,0.7659121155738831,0.005
0.5743840336799622,0.7072538733482361,0.695881187915802,0.7050912380218506,0.7753076553344727,0.5913053154945374,0.6879681944847107,0.6483253836631775,0.7828599214553833,0.7711076140403748,0.005
0.5657868981361389,0.7147150039672852,0.7031036019325256,0.7134621739387512,0.7850016355514526,0.6866653561592102,0.6750936508178711,0.6569343209266663,0.6936416029930115,0.7406691312789917,0.005
0.5611922740936279,0.7210881114006042,0.7122325301170349,0.7139807939529419,0.7913245558738708,0.6712449193000793,0.6664325594902039,0.6148409843444824,0.8385542035102844,0.7657938599586487,0.005
0.5085267424583435,0.7528497576713562,0.7419456839561462,0.7524023056030273,0.830650269985199,0.5603686571121216,0.7207397222518921,0.7465025186538696,0.6432015299797058,0.7913039326667786,0.0025
0.49068036675453186,0.7667357325553894,0.756483256816864,0.7660119533538818,0.8442288637161255,0.5569831132888794,0.726123571395874,0.705482542514801,0.7496389150619507,0.7981756329536438,0.0025
0.4756620526313782,0.7744559645652771,0.7624581456184387,0.7775168418884277,0.8552032113075256,0.5914611220359802,0.7179307341575623,0.6921041011810303,0.7557803392410278,0.7888553738594055,0.0025
0.462563693523407,0.7833160758018494,0.7747852802276611,0.7802456021308899,0.8641699552536011,0.5887789726257324,0.720973789691925,0.7327722311019897,0.6706788539886475,0.7930868268013,0.0025
0.433828741312027,0.8019689321517944,0.7953770756721497,0.7970751523971558,0.8815363049507141,0.5735540986061096,0.7303370833396912,0.7347561120986938,0.6965317726135254,0.8032468557357788,0.00125
