loss,binary_accuracy,precision,recall,auc,val_loss,val_binary_accuracy,val_precision,val_recall,val_auc,lr
0.3621240556240082,0.8426506519317627,0.8310330510139465,0.8483296036720276,0.9188252091407776,0.6267154216766357,0.7270599007606506,0.6889674067497253,0.7988436818122864,0.8098537921905518,1e-04
0.3335763216018677,0.8573390245437622,0.8441680073738098,0.8658445477485657,0.9313596487045288,0.6020991802215576,0.7352527976036072,0.7505302429199219,0.6818400621414185,0.8226324915885925,1e-04
0.31614604592323303,0.8660950064659119,0.853362500667572,0.8743595480918884,0.9384791851043701,0.6327275633811951,0.7375936508178711,0.7680426836013794,0.6588773727416992,0.8244230151176453,1e-04
0.30135810375213623,0.8705248236656189,0.8589040637016296,0.8774214386940002,0.9441671967506409,0.6590107083320618,0.7398174405097961,0.801689088344574,0.6172928810119629,0.8314691781997681,1e-04
0.28744107484817505,0.8787627816200256,0.8700689673423767,0.8818662166595459,0.9492226243019104,0.5857678055763245,0.7583099007606506,0.7525399327278137,0.7490970492362976,0.8348751068115234,1e-04
0.2796671986579895,0.8822858929634094,0.8723694682121277,0.8872697949409485,0.9521577954292297,0.6225355267524719,0.7487125396728516,0.7632545828819275,0.7002167105674744,0.8297881484031677,1e-04
0.2690190374851227,0.8879073858261108,0.8804922103881836,0.8898436427116394,0.9557183980941772,0.6358742713928223,0.7543305158615112,0.7103320956230164,0.8347386121749878,0.8352864384651184,1e-04
0.2655984163284302,0.8903165459632874,0.8829461336135864,0.892369270324707,0.9567474126815796,0.6362988352775574,0.7521067261695862,0.787570595741272,0.6711603403091431,0.837169885635376,1e-04
0.25600266456604004,0.8939951062202454,0.8857970833778381,0.897240161895752,0.9597873687744141,0.6518693566322327,0.7488296031951904,0.8054119944572449,0.637545108795166,0.8426641225814819,1e-04
0.2497348040342331,0.896637499332428,0.8889943957328796,0.8993381857872009,0.9617966413497925,0.6321921348571777,0.7558520436286926,0.7714360952377319,0.7067469954490662,0.8380736708641052,1e-04
0.22734348475933075,0.9082431197166443,0.9014054536819458,0.9105465412139893,0.9683600664138794,0.6370115280151367,0.7571395039558411,0.7860682606697083,0.687454879283905,0.8447290658950806,5e-05
0.22873827815055847,0.9057302474975586,0.8986165523529053,0.9082564115524292,0.9678844213485718,0.6098308563232422,0.7669709920883179,0.762135922908783,0.7564442157745361,0.8465267419815063,5e-05
0.21945048868656158,0.9090979695320129,0.9020447134971619,0.9116296172142029,0.9704918265342712,0.6396651268005371,0.7618211507797241,0.7890710234642029,0.6957359910011292,0.8468019962310791,5e-05
