loss,binary_accuracy,precision,recall,auc,val_loss,val_binary_accuracy,val_precision,val_recall,val_auc,lr
0.4661395251750946,0.7798300385475159,0.7822874188423157,0.7571116089820862,0.8627111911773682,0.41529515385627747,0.8119148015975952,0.7902416586875916,0.8345774412155151,0.8943652510643005,1e-04
0.298530250787735,0.876327633857727,0.8664881587028503,0.8809180855751038,0.9456835389137268,1.2470036745071411,0.6120084524154663,0.5563889741897583,0.9992783069610596,0.9058070182800293,1e-04
0.23008355498313904,0.9077249765396118,0.9019867777824402,0.9086299538612366,0.9674028158187866,0.3565424680709839,0.8621254563331604,0.8490034937858582,0.8714801669120789,0.9327259063720703,1e-04
0.19049227237701416,0.9241231083869934,0.919422447681427,0.9246743321418762,0.9776819348335266,0.6445304155349731,0.7778558135032654,0.6933630704879761,0.973513126373291,0.9327394962310791,1e-04
0.16637657582759857,0.9340966939926147,0.9286357164382935,0.9361690878868103,0.9827764630317688,0.4522610604763031,0.8386001586914062,0.9123328328132629,0.7390466928482056,0.9305949211120605,1e-04
0.14981712400913239,0.9413760900497437,0.9372047185897827,0.9423569440841675,0.9859832525253296,0.37541714310646057,0.8690308928489685,0.8551707863807678,0.8796630501747131,0.9397076964378357,1e-04
0.13249751925468445,0.9496399164199829,0.9470322132110596,0.9493569731712341,0.9889848828315735,0.3900425136089325,0.8541666865348816,0.8584463596343994,0.8381892442703247,0.9328134655952454,1e-04
0.12496185302734375,0.9518677592277527,0.9489225745201111,0.9520632028579712,0.9900520443916321,0.9777070879936218,0.7441479563713074,0.6575825810432434,0.9879575967788696,0.914142906665802,1e-04
0.09165547043085098,0.9663748145103455,0.9649178981781006,0.9658448100090027,0.994512677192688,0.42108553647994995,0.8684456944465637,0.9300937652587891,0.7884846925735474,0.9448369145393372,5e-05
0.0824786052107811,0.9689394235610962,0.96767657995224,0.9683480262756348,0.9954544305801392,0.41868263483047485,0.877691924571991,0.8353829383850098,0.9321136474609375,0.9468446969985962,5e-05
0.07637230306863785,0.9722553491592407,0.9719935655593872,0.9708002209663391,0.9959584474563599,0.5424327254295349,0.8534644246101379,0.7847877144813538,0.9621686935424805,0.9387056827545166,5e-05
